N,js_ref_db,lambda2_mean,lambda2_std,connected_fraction,worst_rho,link_range_m
20,-6.0,0.0004226594055230962,0.007083574467341713,0.004,0.008628332438547373,218.45158134814798
20,-5.0,4.539734752487313e-18,4.404717795308197e-17,0.0,0.008612880795667358,194.83148730691238
20,-4.0,6.113835807225238e-19,1.0009023079016535e-17,0.0,0.008600664175200333,173.740273931532
20,-3.0,0.0,0.0,0.0,0.00859099589721998,154.91453445037368
20,-2.0,0.0,0.0,0.0,0.008583338522875657,138.1161227515775
20,-1.0,0.0,0.0,0.0,0.008577270129745938,123.13039255599882
20,0.0,0.0,0.0,0.0,0.008572458682263948,109.7643409999296
20,1.0,0.0,0.0,0.0,0.008568642380432732,97.84475045653231
20,2.0,0.0,0.0,0.0,0.008565614488405105,87.2163880269697
20,3.0,0.0,0.0,0.0,0.008563211555239416,77.7402984686264
20,4.0,0.0,0.0,0.0,0.008561304228129379,69.29221021855277
20,5.0,0.0,0.0,0.0,0.008559790059579958,61.76106335689214
20,6.0,0.0,0.0,0.0,0.008558587867035618,55.04766123707953
30,-30.0,24.52976694143077,2.1836324043480477,1.0,0.001142026234517333,1014.1943094993011
30,-29.0,24.414646968892573,2.1830997994893173,1.0,0.0014255187443375991,1011.4684890442235
30,-28.0,24.321753839241072,2.1942820722899703,1.0,0.0017752921140283204,1008.0061842037928
30,-27.0,24.18557171344659,2.2166445296138155,1.0,0.0022043578004448043,1003.5973161417506
30,-26.0,23.956718005573865,2.2287719725706827,1.0,0.002726676252918209,997.9645574871035
30,-25.0,23.718185645572543,2.248617952471296,1.0,0.0033559914206304836,990.7367514603147
30,-24.0,23.326786604923083,2.2364000452819304,1.0,0.004103527308303818,981.4082457123907
30,-23.0,22.800558387467508,2.2553729954335813,1.0,0.004973749298393164,969.2742414445836
30,-22.0,22.09320528501815,2.3124568474962834,1.0,0.005956893908277637,953.3241536317804
30,-21.0,21.081458515074452,2.37227472229485,1.0,0.0070162597766688425,932.0622413971944
30,-20.0,19.629549442940952,2.4419402554593086,1.0,0.008068155192321987,903.2219171007727
30,-19.0,17.67881027333084,2.500604326425267,1.0,0.008958514348368965,863.4790177631572
30,-18.0,14.986665405654826,2.4242562127959406,1.0,0.009479687138498439,809.2308357949911
30,-17.0,11.867549115406895,2.2820182093868033,1.0,0.009549665644357568,741.4469326225617
30,-16.0,8.886092836515763,1.9655837006690855,1.0,0.009384176495991738,669.4220636184697
30,-15.0,6.3291518897762655,1.6224650500300841,1.0,0.009202087076450208,601.1804041400594
30,-14.0,4.348212868282409,1.2360698009464601,1.0,0.009057519011492113,538.8460598742882
30,-13.0,2.853809331900159,0.9026299694265663,0.998,0.008946880779623037,482.39374972417255
30,-12.0,1.785712366807495,0.6541022393941686,0.992,0.008861763114251176,431.4555039772863
30,-11.0,1.0443483471126358,0.468816018760063,0.974,0.008795818459140433,385.61366799058595
30,-10.0,0.5587073899665277,0.3223550653657478,0.918,0.008744447398927694,344.44287394900164
30,-9.0,0.26039681940952414,0.2146788656648104,0.75,0.008704260044115848,307.52659240906314
30,-8.0,0.10231329250022358,0.12917896536635304,0.524,0.00867271870710573,274.46701911715826
30,-7.0,0.02418667876573647,0.05561958471553481,0.206,0.008647900122330764,244.8907452925642
30,-6.0,0.004005577811725778,0.018733650947074243,0.058,0.008628332438547373,218.45158134814798
30,-5.0,0.0002722879714959412,0.004429245316739149,0.004,0.008612880795667358,194.83148730691238
30,-4.0,7.114527958072627e-18,6.532329093309735e-17,0.0,0.008600664175200333,173.740273931532
30,-3.0,7.0998941396297435e-19,1.3364436959130987e-17,0.0,0.00859099589721998,154.91453445037368
30,-2.0,0.0,0.0,0.0,0.008583338522875657,138.1161227515775
30,-1.0,0.0,0.0,0.0,0.008577270129745938,123.13039255599882
30,0.0,0.0,0.0,0.0,0.008572458682263948,109.7643409999296
30,1.0,0.0,0.0,0.0,0.008568642380432732,97.84475045653231
30,2.0,0.0,0.0,0.0,0.008565614488405105,87.2163880269697
30,3.0,0.0,0.0,0.0,0.008563211555239416,77.7402984686264
30,4.0,0.0,0.0,0.0,0.008561304228129379,69.29221021855277
30,5.0,0.0,0.0,0.0,0.008559790059579958,61.76106335689214
30,6.0,0.0,0.0,0.0,0.008558587867035618,55.04766123707953
